"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Image Src","Image Position","Image Alt Text","Status"
"khamrah-lattafa","Khamrah Lattafa 100 ML","<p>Un brindis oriental de dátiles, canela y vainilla. Khamrah envuelve la piel con una estela cálida, dulce y especiada que perdura por horas.</p>","Lattafa","Perfume Árabe","arabe, lattafa, caja, bestseller, gourmand, unisex","TRUE","Title","Default Title","shopify","7","deny","manual","124000.00","155000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Khamrah Lattafa 100 ML","active"
"yara-lattafa","Yara Lattafa 100 ML","<p>Cremoso, dulce y luminoso. Yara combina orquídea y heliotropo sobre una base de sándalo y vainilla para un rastro adictivo y femenino.</p>","Lattafa","Perfume Árabe","arabe, lattafa, caja, bestseller, floral, dama","TRUE","Title","Default Title","shopify","6","deny","manual","124000.00","155000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Yara Lattafa 100 ML","active"
"asad-lattafa","Asad Lattafa 100 ML","<p>Potente y magnético. Asad abre con pimienta y piña para asentarse en un fondo de vainilla, ámbar y pachulí de gran proyección.</p>","Lattafa","Perfume Árabe","arabe, lattafa, caja, amaderado, caballero","TRUE","Title","Default Title","shopify","4","deny","manual","124000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Asad Lattafa 100 ML","active"
"oud-for-glory-cofre","Oud For Glory Cofre 100 ML","<p>Una oda al oud. Azafrán y nuez moscada dan paso a maderas resinosas y pachulí en un cofre de lujo de altísima duración.</p>","Lattafa","Perfume Árabe","arabe, lattafa, cofre, oud, amaderado, unisex","TRUE","Title","Default Title","shopify","10","deny","manual","184000.00","230000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Oud For Glory Cofre 100 ML","active"
"erba-pura-caja","Erba Pura en Caja 100 ML","<p>Explosión frutal sobre un fondo dulce y ambarado. Erba Pura es alegre, jugosa y sorprendentemente versátil para cualquier ocasión.</p>","Xerjoff","Perfume Árabe","arabe, xerjoff, caja, frutal, unisex, gourmand","TRUE","Title","Default Title","shopify","4","deny","manual","126000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Xerjoff","1","Erba Pura en Caja 100 ML","active"
"mayar-lattafa","Mayar Lattafa 100 ML","<p>Elegancia floral con un guiño frutal. Jazmín y azahar arropados por vainilla y cachemira para una firma sofisticada y delicada.</p>","Lattafa","Perfume Árabe","arabe, lattafa, caja, floral, dama","TRUE","Title","Default Title","shopify","13","deny","manual","166000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Mayar Lattafa 100 ML","active"
"fakhar-black","Fakhár Black 100 ML","<p>Frescura aromática y fondo amaderado. Fakhár Black es la versatilidad hecha perfume: oficina de día, seducción de noche.</p>","Lattafa","Perfume Árabe","arabe, lattafa, caja, amaderado, aromatico, caballero","TRUE","Title","Default Title","shopify","6","deny","manual","190000.00","238000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Fakhár Black 100 ML","active"
"eclaire-lattafa","Eclaire Lattafa 100 ML","<p>Un postre embotellado. Caramelo, praliné y vainilla cremosa para quienes aman las fragancias dulces y golosas.</p>","Lattafa","Perfume Árabe","arabe, lattafa, caja, gourmand, dulce, dama","TRUE","Title","Default Title","shopify","11","deny","manual","170000.00","213000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Eclaire Lattafa 100 ML","active"
"sauvage-dior","Sauvage Dior 100 ML","<p>Frescura radiante y especiada. Bergamota crujiente, pimienta de Sichuan y un fondo de ambroxan que proyecta sin esfuerzo.</p>","Dior","Perfume Masculino","masculino, dior, fresco, especiado, bestseller, caballero, caja","TRUE","Title","Default Title","shopify","5","deny","manual","126000.00","158000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Dior","1","Sauvage Dior 100 ML","active"
"one-million","One Million 100 ML","<p>Opulento y seductor. Toronja y menta brillantes sobre canela, cuero y ámbar para una presencia inolvidable.</p>","Paco Rabanne","Perfume Masculino","masculino, paco-rabanne, especiado, cuero, caballero, caja","TRUE","Title","Default Title","shopify","6","deny","manual","116000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Paco%20Rabanne","1","One Million 100 ML","active"
"invictus","Invictus 100 ML","<p>Frescura deportiva y victoriosa. Notas marinas y pomelo sobre una base ambarada de guayaco para el día a día.</p>","Paco Rabanne","Perfume Masculino","masculino, paco-rabanne, acuatico, fresco, caballero, caja","TRUE","Title","Default Title","shopify","13","deny","manual","116000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Paco%20Rabanne","1","Invictus 100 ML","active"
"le-male-elixir","Le Male Elixir 120 ML","<p>La versión más adictiva del clásico. Lavanda y miel sobre haba tonka y benjuí: dulce, cálido y de proyección bestial.</p>","Jean Paul Gaultier","Perfume Masculino","masculino, jean-paul-gaultier, oriental, gourmand, caballero, caja","TRUE","Title","Default Title","shopify","11","deny","manual","146000.00","183000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Jean%20Paul%20Gaultier","1","Le Male Elixir 120 ML","active"
